id,name,sku
373,LOVE,LOV
374,LOVE,LVE
375,LOVERS,LVRS
376,LX-16,LX-16
377,LX-20,LX-20
378,LX-22,LX-22
379,MAGDALENE,MAG
380,MAGIC,MAGC
381,MAGICA NOCTA,MAGNCT
382,MALA,MALA
383,"MALA, HEALER",HLMALA
384,"MALA, PEACE",PCMALA
385,MANDALA,MNDL
386,MANDRAKE,MNDRK
387,MANIFESTATION,MANI
388,MANIFESTATION,MFST
389,MANIFESTATION,MNFST
390,MARCH,MAR
391,MARIGOLD,MRGLD
392,MASSAGE,MSGE
393,MATRILINIA,MTRIL
394,MAY,MAY
395,MEADOWFOAM SEED OIL,MDW
396,MEDALLIONS,MEDA
397,MEDICINE SPACE,MEDSP
398,MEDITATION STONE,MEDS
399,MEGAMONEY,MGAMNY
400,MEGH SAMBARA,MEGHS
401,MERKABA,MRK
402,MERMAID,MER
403,METAL MATERIAL,METL
404,METALLIC,MTLC
405,METATRON,META
406,MIGRAINE,MIGR
407,MINI,MINI
408,MIRROR,MIR
409,MOLD,MLD
410,MONEY DRAW,MNYDRW
411,MOON,MN
412,MOON AND STAR,MNST
413,MOON MAIDEN,MOONMD
414,MORGANITE,MRGT
415,MUD,MUD
416,MULTICOLOR,MLTC
417,MUSHROOM(S),MSHRM
418,MYRRH,MYRR
419,MYRTH,MRTH
420,NATURAL,NAT
421,NATURAL CASTILE,NTRLCSTLE
422,NATURAL FLORA,NFLOR
423,NAVY BLUE,NVBLU
424,NEEDLE,NDL
425,NEROLI,NRLI
426,NEW MOON,NWMN
427,NEW MOON,NWMN
428,NICKEL MATERIAL,NICKL
429,NOVEMBER,NOV
430,NUMMITE,NMMT
431,NUNDOORITE,NUND
432,NUT,NUT
433,OBELISK,OBEL
434,OCTAHEDRON,OCTA
435,OCTOBER,OCT
436,OFFERING,OFFER
437,OIL,OIL
438,OLIVE GREEN,OLVGRN
439,OM SYMBOL,OM 
440,OMBRE,OMBR
441,OMBRE BLUE,OMBRBL
442,OPAQUE,OPQ
443,OPOPONAX,OPOP
444,ORACLE CARDS,ORCCRD
445,ORANGE,ORG
446,ORGANIC BAND,ORGBND
447,ORGON,ORGN
448,ORGONITE,ORGO
449,ORNAMENT,ORNMT
450,OUD,OUD
451,OUROBOROS,OURO
452,OVAL,OVL
453,OWL,OWL
454,PACHAMAMA PAPA,PACH
455,PALM SHAPE,PLM
456,PALM STONE,PLMS
457,PALO SANTO,PALO
458,PASSION(ATE),PASS
459,PEACE,PEAC
460,PEACOCK,PCK
461,PEDESTAL,PEDS
462,PENS,PENS
463,PENDANT,PNDT
464,PENDULUM,PNDL
465,PENDULUM BOARD,PNDLBD
466,PENTAGRAM,PNTGM
467,PERFUME,PERF
468,PERIWINKLE,PWNKLE
469,PERUVIAN,PERU
470,PHANTOM,PHTM
471,PHOENIX,PHNX
472,PHOSPHOSIDERIDE,PHSRD
473,PHYSICAL,PHYS
474,PIG,PIG
475,PILLAR,PILR
476,PILLBOX,PILL
477,PIMMEL,PIMM
478,"PINE, PINON",PINPN
479,PINK,PNK
480,PIPE,PIPE
481,PISCES,PIS
482,PIXIE,PXIE
483,PLANT STICKS,PLSTK
484,PLATE,PLT
485,"PLATED, GOLD",GLDPLTD
486,"PLATED, RAINBOW",RBOWPL
487,PLEATHER,PLTH
488,PLUM,PLM
489,PLUM PURPLE,PLMPRPL
490,POCKET,PCKT
491,POCKET ANGEL,PCKTANGL
492,POINT,PNT
493,"POINTED, TWELVE",12PNT
494,POLISHED,PLSH
495,POLISHED CHARGING PLATE,PCHRP
496,POLISHED DOUBLE TERMINATED WAND,PWND
497,POLISHED POINT,PPNT
498,POLISHED SLAB,PSLB
499,POLISHED TOP,POLTOP
500,POLYCHROME,PLYCHRM
501,POMOGRANATE,PMGT
502,PORTAL,PRTL
503,POT,POT
504,POWER,POWR
505,POWER STONE,PWS
506,PRIESTESS,PRSTSS
507,PRINTER RD435,PRNT
508,PROPYLENE ROUND BOTTOM,RNDBTM
509,PROSPERITY,PROS
510,PROSPERTY,PRSP
511,PROTECTION,PROT
512,PROTECTION,PROT
513,PUMICE SAND,PMCESND
514,PUMP,PMP
515,PUMPKIN SPICE,PMPKSP
516,PURPLE,PRP
517,PURPURITE,PURPT
518,PYRAMID,PYR
519,QUAD,QUAD
520,QUAN YIN,QYIN
521,QUEEN BEE META,QNBMETA
522,QUEEN OF HEARTS,QNHRT
523,RADHA KRISHNA,RADKRNA
524,RAINBOW,RNBW
525,RAINBOW,RNBW
526,RAVEN,RVN
527,RECORD KEEPER,RCRDKP
528,RECTANGLE,RECT
529,RECTANGULAR NECK,RCTG
530,RED,RED
531,REISHI MUSHROOM,MSHR
532,RELIEF,RLF
533,RESIN,RESN
534,RHOMBUS,RHOM
535,RIMMED EDGE,RIMM
536,ROOT,ROOT
537,ROSE,RSE
538,ROSE,RSE
539,ROSE GOLD ,RSGLD
540,ROSE PEDAL,RSEPDL
541,ROSETTE,RSTE
542,ROSITA,ROS
543,ROUGH,RGH
544,ROUND,RND
545,ROYAL BLUE,ROYBL
546,ROYAL BLUE,RYBLU
547,RUBELLITE,RBLT
548,RUBY,RUBY
549,RUNES,RUNE
550,SACRED,SACRD
551,SACRED GEOMETRY,SCRDGEO
552,SAGE GODDESS,SG
553,"SAGE, BLACK (MUGWORT)",MGWRT
554,"SAGE, CEDAR",CEDR
555,"SAGE, DESERT",DSRT
556,"SAGE, JUNIPER",JNPR
557,"SAGE, JUNIPER WHITE",JNPWHT
558,"SAGE, ROSEMARY",RSMRY
559,"SAGE, SHASTA",SHST
560,"SAGE, WHITE",WHTSG
561,"SAGE, WHITE & CEDAR",WSCEDR
562,"SAGE, WHITE & JUNIPER",WSJNPR
563,"SAGE, WHITE & YERBA SANTA",WSGYER
564,SAGITTARIUS,SAG
565,SAHASRABHUJA AVALKITESWARA,SAHAS
566,SAHUMERIO,SHMR
567,SAMHAIN,SAMH
568,SANDALWOOD,SAND
569,SAPPHIRE,SPPHR
570,SARI,SARI
571,SATIN,STIN
572,SCARAB,SCAR
573,SCEPTER,SCPT
574,SCHLEM BLEND,SCHMBLD
575,SCORPIO,SCO
576,SEASONAL,SSNL
577,SEED OF LIFE,SOL
578,SELENITE,SLNT
579,SEPTEMBER,SEPT
580,SEPTEMBER,SEP
581,SERPENTINE,SRPTN
582,SET,SET
583,SEX,SEX
584,SHADOW,SHDW
585,SHADOW SEASON,SHDWS
586,SHAKYAMUNI,SHAKY
587,SHED,SHD
588,SHIT BASKET,SHTBSKT
589,SHIVA EYE,SHIV
590,SHREE YANTRA,SHR-YNR
591,SIGNATURE INTENTION,SIGINT
592,SILVER,SLV
593,SILVER .925,925
594,SILVER LEAF,SLF
595,SILVER STANDS ,SLVSTN
596,SIRIUS,SIRI
597,SKELETAL,SKEL
598,SKELETON,SKLT
599,SKULL,SKUL
600,"SKULL, RAVEN",RVNSKL
601,"BLUE, SKY",SKBLU
602,SLICE,SLC
603,SLIM,SLM
604,SMOOTH,SMTH
605,SMUDGE,SMDG
606,SNAKE,SNK
607,SNUFF BOTTLE,SNUFB
608,SOAP,SOP
609,SOAP CUTTER,SOAP-CTTR
610,SONG OF,SONG
611,SOUL SHIFT 2020,SS2020
612,SOUL SHIFT 2021,SS2021
613,SOULS,SLS
614,SPACE,SPC
615,SPARKLING,SPRK
616,SPEARS,SPR
617,SPECIMEN,SPEC
618,SPECTROLITE,SPTRLTE
619,SPESSARTITE,SPSST
620,SPHERE,SPHR
621,SPHERE STAND,SPHSTD
622,"SPHERE, GEODE",SPHGEO
623,SPIDER,SPDR
624,SPOT,SPT
625,SPRAY,SPRY
626,SPRAYER,SPRY
627,SQUARE,SQU
628,STAFF,STF
629,STAFF OF HERMES,HERM
630,STAINLESS STEEL MATERIAL,STNLS
631,STAKE,STK
632,STAND,STND
633,STAR,STR
634,STAR BOWL,STRB
635,STARRY,STRY
636,STEPHENSON ORGANIC,STEPNSOC
637,STERLING SILVER,STRL
638,STERLING SILVER WITH GOLD OVERLAY,SLVGLD
639,STICK,STCK
640,STONE,STN
641,STONE DUO,SDUO
642,STRAIGHT SIDED,STRTSD
643,SUGAR,SGR
644,SULPHER,SLPH
645,SUN,SUN
646,SUN FACE,SUNFC
647,SUNSET,SUNST
648,SWEETGRASS,SWTGRS
649,SWORD,SWD
650,TALL,TALL
651,TAN,TAN
652,TANGERINE,TNG
653,TANTRA,TNTRA
654,TARA,TARA
655,TAURUS,TAU
656,TEA CUP,TCUP
657,TEA LIGHT HOLDER,TLHLDR
658,TEAL,TL
659,TEAR DROP,TEAR
660,TEMPLE,TMPL
