id,name,sku,variable
300,"OBSIDIAN, SILVER SHEEN ",OBS,SLV
301,"OBSIDIAN, SNOWFLAKE",OBS,SNWFLK
302,"OBSIDIAN, SNOWFLAKE MD",OBS,SNWMD
303,OKENITE,OKE,
304,ONYX,ONX,
305,"ONYX, AQUA",ONX,AQU
306,"ONYX, AQUA AND ROSE",ONX,AQURSE
307,"ONYX, BLUE (LEMURIAN BLUE ONYX)",ONX,LEMBLU
308,"ONYX, BLUE AQUA",ONX,BLU
309,"ONYX, GREEN/BLACK",ONX,GRNBLK
310,"ONYX, ORANGE",ONX,ORG
311,"ONYX, PINK BANDED",ONX,PNK
312,"ONYX, ROSE",ONX,RSE
313,"ONYX, RUSTIC",ONX,RUST
314,"ONYX, RUSTIC AQUA",ONX,RSTAQU
315,"ONYX, WHITE SAND",ONX,WHTSND
316,OPAL,OPL,
317,"OPAL, GREEN",OPL,GRN
318,"OPAL, MEXICAN FIRE",OPL,FIR
319,"OPAL, PINK",OPL,PNK
320,"OPAL, PINTADE",OPL,PNDE
321,"OPAL, YELLOW",OPL,YLW
322,OPALITE,OPLT,
323,"ORE, PEACOCK",PCK,
324,ORPIMENT,ORP,
325,OSUMILITE,OSML,
326,PEARL,PRL,
327,PERIDOT,PER,
328,PETALITE,PTA,
329,"PETALITE, PINK",PTA,PNK
330,PETRIFIED PALM ROOT,PET,PLM
331,PETRIFIED WOOD,PET,
332,"PETRIFIED WOOD, MADAGASCAR",PET,MADG
333,"PETRIFIED WOOD, PINK",PTWD,PNK
334,PHENAKITE (PHENACITE),PHN,
335,PHOENIX,PHX,
336,PIETERSITE,PRT,
337,"PIETERSITE, BLUE",PRT,BLU
338,PINOLITH,PINO,
339,POCKET ANGEL,ANG,PCKT
340,PRASIOLITE,PRS,
341,"PRASIOLITE, YELLOW",PRS,YLW
342,PREHNITE,PRE,
343,PREHNITE WITH EPIDOTE,PRE,EPD
344,PRESELI BLUESTONE,PRSBLU,
345,"PRESELI, STONEHENGE",PRS,STNH
346,PSILOMELANE,PSL,
347,PYRITE,PYRT,
348,QUANTUM OTTO,QNT,OTT
349,QUARTZ,QTZ,
350,"QUARTZ, AMPHIBOLE",QTZ,AMP
351,"QUARTZ, AQUA AURA",QTZ,AQA
352,"QUARTZ, AURA",QTZ,AURA
353,"QUARTZ, BLUE",QTZ,BLU
354,"QUARTZ, BLUE",QTZ,BLU
355,"QUARTZ, BLUE SMOKE",QTZ,BLSMK
356,"QUARTZ, CITRINE",QTZ,CIT
357,"QUARTZ, CITRINE B",QTZ,CITB
358,"QUARTZ, CLEAR",QTZ,CLR
359,"QUARTZ, ELESTIAL",QTZ,ELE
360,"QUARTZ, FADEN",QTZ,FAD
361,"QUARTZ, FENSTER",QTZ,FEN
362,"QUARTZ, FIRE ELESTIAL",QTZ,FIRELE
363,"QUARTZ, GARDEN (SHAMAN'S DREAM STONE; LODOLITE)",QTZ,SHM
364,"QUARTZ, GOLDEN HEALER",QTZ,GLDHLR
365,"QUARTZ, GREEN",QTZ,GRN
366,"QUARTZ, HEMATOID",QTZ,HEM
367,"QUARTZ, HIMALAYAN ",QTZ,HMLY
368,"QUARTZ, LAVENDER ROSE",QTZ,LAVRSE
369,"QUARTZ, LEMURIAN",QTZ,LEM
370,"QUARTZ, LEMURIAN LIGHT",QTZ,LEMLIT
371,"QUARTZ, LEMURIAN RED",QTZ,LEMRD
372,"QUARTZ, LITHIUM",QTZ,LIT
373,"QUARTZ, NIRVANA",QTZ,NRV
374,"QUARTZ, OPAL AURA (ANGEL AURA)",QTZ,OPLAUR
375,"QUARTZ, ORANGE OMBRE",QTZ,ORGOM
376,"QUARTZ, PETROLEUM",QTZ,PETR
377,"QUARTZ, PINK",QTZ,PNK
378,"QUARTZ, RED HEMATOID",QTZ,REDHEM
379,"QUARTZ, ROSE",QTZ,RSE
380,"QUARTZ, RUTILATED",QTZ,RUT
381,"QUARTZ, SATYALOKA",QTZ,SAT
382,"QUARTZ, SCEPTER",QTZ,SPT
383,"QUARTZ, SMOKY",QTZ,SMK
384,"QUARTZ, STRAWBERRY",QTZ,STR
385,"QUARTZ, SULFUR",QTZ,SLF
386,"QUARTZ, SUNSET AURA",QTZ,SST-ARA
387,"QUARTZ, TANGERINE",QTZ,TNG
388,"QUARTZ, TIBETAN",QTZ,TBT
389,"QUARTZ, TOURMALINATED",QTZ,TRM
390,"QUARTZ, TOURMALINATED AURA",QTZ,TRM-ARA
391,"QUARTZ, WATER",QTZ,WTR
392,"QUARTZ, WHITE",QTZ,WHT
393,"QUARTZ, YELLOW HEMATOID",QTZ,YLWHEM
394,QUE SERA,QSR,
395,RHODOCHROSITE,RHO,
396,"RHODOCHROSITE, BROWN",RHO,BRN
397,RHODONITE,RHDN,
398,"RHODONITE, CANADA",RHDN,CAN
399,RHYOLITE,RHI,
400,"RHYOLITE, RAINFOREST",RHI,RAIN
401,ROCK CRYSTAL,RCK,
402,ROSASITE ,RSA,
403,ROSEWOOD,RSWD,
404,RUBELLITE,RBL,
405,RUBY,RBY,
406,"RUBY, CORUNDUM",RBY,CRN
407,"RUBY, FELDSPAR",RBY,FELD
408,"RUBY, FUCHSITE",RBY,FUC
409,"SANDSTONE, GOLD",SSTN,GLD
410,SAPPHIRE,SAP,
411,"SAPPHIRE, BLACK",SAP,BLK
412,"SAPPHIRE, BLUE",SAP,BLU
413,"SAPPHIRE, YELLOW",SAP,YLW
414,SARDONYX,SRD,
415,SAUSSURITE ,SAU,
416,SCAPOLITE,SCA,
417,"SCAPOLITE, GOLDEN",SCA,GLD
418,"SCAPOLITE, PURPLE",SCA,PUR
419,SCOLECITE,SCL,
420,SELENITE,SEL,
